age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,X,Y
15,4,4,1,1,0,5,4,2,1,1,5,0,12,15,15,16.694813630407246,-5.34164817296863
16,4,2,1,2,0,4,5,1,1,3,5,2,15,15,16,12.190872988907419,-12.917213123842917
16,2,2,2,2,0,5,4,4,2,4,5,0,13,13,12,12.000079904412885,-3.7392408175973872
15,2,4,1,3,0,4,3,2,1,1,5,2,10,9,8,8.479081275869342,7.200374812023436
16,2,2,1,1,2,1,2,2,1,3,5,14,6,9,8,-14.949860519894614,8.15115454684717
15,2,2,1,1,0,4,2,2,1,2,5,2,12,12,11,11.527875640698813,2.0431362395329664
15,4,2,1,1,0,2,2,4,2,4,1,4,15,16,15,9.384012012035708,-11.263415801901907
16,3,4,1,2,0,5,3,3,1,1,5,4,11,11,11,8.671491676577796,1.2264598690523254
16,4,4,1,2,0,4,4,5,5,5,5,16,10,12,11,-16.604056330087186,-2.63345559112073
15,4,4,1,2,0,5,4,2,3,4,5,0,9,11,12,10.856245326756499,7.560805571346052
15,4,4,2,2,0,4,3,1,1,1,5,0,17,16,17,14.539350256411362,-16.480822773877577
15,4,3,1,2,0,4,5,2,1,1,5,0,17,16,16,15.271698505320906,-13.72935399598985
15,3,3,1,2,0,5,3,2,1,1,2,0,8,10,12,9.713178081375142,9.605578616269296
16,3,2,1,1,0,5,4,3,1,1,5,0,12,14,15,15.693231191762937,-3.1156790756973436
15,2,3,2,1,0,3,5,1,1,1,5,0,8,7,6,8.544599436962095,11.350032616091001
15,4,3,1,3,0,5,4,3,1,1,4,2,15,16,18,10.82738339814182,-13.38015584344525
16,4,4,2,3,0,2,4,3,1,1,5,7,15,16,15,2.9887945879264395,-10.240644148042973
15,3,4,1,3,0,4,3,2,1,1,5,2,12,12,11,10.993458649040731,1.470783084633575
15,2,2,1,1,0,4,3,1,1,1,2,8,14,13,13,-0.0641051406372859,-6.347829087821016
16,2,2,2,2,1,3,3,3,1,2,3,25,7,10,11,-35.29654444984499,-1.0548069528594897
15,4,4,1,1,0,5,4,3,2,4,5,8,12,12,12,2.323611519001197,-0.22077724776777405
15,4,4,1,2,0,4,3,3,1,1,5,2,19,18,18,12.252956845993882,-18.26307516107052
15,2,2,1,1,0,5,4,1,1,1,1,0,8,8,11,8.610920398974622,12.286507106200782
16,2,2,2,2,1,4,3,3,2,2,5,14,10,10,9,-13.973890942990401,0.9099553413934571
15,4,3,1,2,0,5,2,2,1,1,5,8,8,8,6,-5.8023313519539315,13.75370296747978
16,3,3,1,2,0,2,3,5,1,4,3,12,11,12,11,-10.662889827087707,-3.4403239612019774
16,4,3,1,4,0,4,2,2,1,1,2,4,19,19,20,7.276276493097308,-21.863904651916286
15,4,2,1,2,0,4,3,3,2,2,5,2,15,15,14,9.651237101114678,-10.607418281020253
15,4,4,1,2,1,4,4,4,1,1,3,2,7,7,7,5.863964494869731,15.275770383034573
16,2,2,3,2,0,4,3,3,2,3,4,2,12,13,13,11.956496793591972,-3.231941004052354
15,4,2,1,2,0,4,3,3,1,1,5,2,11,13,13,11.597027063443266,-0.3375423035612187
15,4,2,2,1,1,5,5,5,3,4,5,6,11,11,10,3.5042922696079604,3.3915096558310425
15,4,4,1,1,0,3,3,4,2,3,5,0,8,10,11,11.667816981441952,5.099904730859546
15,3,3,1,1,0,5,3,4,4,4,1,6,10,13,13,4.1087382619008475,-2.567282075730453
16,2,1,1,2,0,5,3,4,1,1,2,8,8,9,10,-1.8305956225663518,9.717198738160102
15,4,3,1,2,0,4,3,2,1,1,1,0,14,15,15,14.342430631214508,-9.746666922758356
15,4,4,1,2,0,3,2,2,1,1,5,4,14,15,15,6.826438893924549,-10.558010445423543
15,1,2,1,2,0,4,3,2,1,1,5,2,9,10,9,7.121566937903507,8.338373111770927
16,4,2,1,2,0,4,2,3,1,1,5,2,15,16,16,9.471235972153739,-13.8336016257661
16,4,4,1,2,0,2,4,4,2,3,4,6,10,11,11,0.8380235685317331,4.648644661384787
16,1,1,4,1,0,5,5,5,5,5,5,6,10,8,11,0.18162168468624454,6.9139051276172445
16,1,2,1,2,0,4,4,3,1,1,1,4,8,10,9,5.891364326164482,9.760949423183156
16,4,3,1,3,0,3,4,4,2,4,4,2,10,9,9,6.929063520804566,7.776308946354719
15,4,3,1,2,0,4,4,4,2,4,2,0,10,10,10,9.297109575727323,8.766840624003938
16,4,3,3,2,0,5,4,3,1,2,1,2,16,15,15,11.11784482859255,-9.484571449428824
15,4,4,1,4,0,1,3,3,5,5,3,4,13,13,12,6.229842005061101,1.1578840407315054
16,3,1,1,4,0,4,3,3,1,2,5,4,7,7,6,-2.653817475161174,19.276465137477697
15,2,2,2,2,0,4,1,3,1,3,4,2,8,9,8,5.809848702765582,11.799341007809929
15,3,1,2,4,0,4,4,2,2,3,3,12,16,16,16,-2.8891324509721987,-17.28192003559215
16,3,1,2,4,0,4,3,2,1,1,5,0,13,15,15,15.712419633865267,-8.371681030801602
15,4,2,1,4,0,3,3,3,1,1,3,0,10,10,10,11.013164929350996,6.973062577068434
15,1,1,1,2,2,3,3,4,2,4,5,2,8,6,5,0.816216937792255,20.54696855005508
16,3,1,1,1,0,5,3,2,2,2,5,2,12,12,14,12.852578236691647,-1.2341377945059284
16,3,3,1,2,0,4,3,3,2,4,5,54,11,12,11,-68.70448188158512,-11.94354874940778
15,4,3,1,2,0,4,3,3,2,3,5,6,9,9,10,-0.9278734004849666,8.609587337657759
15,4,0,2,4,0,3,4,3,1,1,1,8,11,11,10,-4.320380397037667,2.516400130368105
16,2,2,1,4,0,5,2,3,1,3,3,0,11,11,11,13.045369802520543,2.2606773500800967
17,2,1,2,1,3,4,5,1,1,1,3,2,8,8,10,5.816614242492393,15.082863084212939
16,3,4,1,2,0,2,4,3,1,2,3,12,5,5,5,-14.129232495840593,16.173449849357024
15,2,3,1,1,0,3,2,2,1,3,3,2,10,12,12,11.311681132536327,2.307676342896039
15,2,3,1,3,0,5,3,2,1,2,5,4,11,10,11,7.7563584372818415,4.344562187476395
15,3,2,1,2,0,4,4,4,1,1,5,10,7,6,6,-8.488662472052418,13.467626826094754
15,2,2,2,2,0,5,3,3,1,3,4,4,15,15,15,7.383035741284753,-10.26026081956229
15,1,1,1,2,0,4,3,2,2,3,4,2,9,10,10,9.16541783012231,8.76157345405765
15,4,4,2,2,2,4,4,4,2,3,5,6,7,9,8,-0.7378599425147188,9.566187281285224
16,2,2,1,2,0,4,3,4,1,2,2,4,8,7,6,0.6136939528307614,17.126589510221017
15,4,2,1,3,0,5,3,3,1,3,1,4,13,14,14,6.291670498002295,-8.196515098017214
16,2,2,2,2,1,4,4,2,1,1,3,12,11,10,10,-10.55835268421596,2.0578149807247392
16,4,4,1,2,0,4,1,3,3,5,5,18,8,6,7,-26.013322056967944,11.790209180318245
16,3,3,1,3,0,4,3,3,1,3,4,0,7,7,8,6.822320744816128,14.511968688411995
15,4,3,1,1,0,4,5,5,1,3,1,4,16,17,18,9.182890746864743,-16.648222591256054
16,3,1,1,2,0,3,3,3,2,3,2,4,7,6,6,0.21062870503152673,17.58808290850878
16,4,2,2,2,0,5,3,3,1,1,1,0,11,10,10,9.209127373290226,6.308156973606977
15,2,2,1,4,0,4,3,4,1,1,4,6,11,13,14,3.541333562145922,-3.6128684435950214
15,1,1,2,4,1,3,1,2,1,1,1,2,7,10,10,8.665318282061538,12.92655703556171
16,4,3,2,1,0,3,3,3,1,1,4,2,11,15,15,12.691953910040944,-3.5344072819512244
16,2,1,1,2,0,4,3,5,1,1,5,2,8,9,10,5.222813327772652,10.39264429062176
16,4,4,1,1,0,5,3,4,1,2,1,6,11,14,14,5.4070793584129655,-7.9537829729691465
16,4,3,1,3,0,5,3,5,1,1,3,0,7,9,8,8.992705753252807,13.018513629912334
16,4,4,1,1,0,4,5,5,5,5,4,14,7,7,5,-17.999732933293277,12.550739830697049
16,4,4,1,3,0,4,4,3,1,1,4,0,16,17,17,12.574357305969553,-15.847758337660178
15,4,4,1,1,0,5,3,3,1,1,5,4,10,13,14,9.064182903138954,-2.3095629078167668
15,3,2,2,2,0,4,3,5,1,1,2,26,7,6,6,-37.92308111624121,2.14060354133576
15,3,4,1,2,0,5,4,4,1,1,1,0,16,18,18,12.125693240861862,-18.02150992302517
15,3,3,1,4,0,4,3,3,1,1,4,10,10,11,11,-7.441567958987843,2.180093008095283
15,2,2,1,4,0,5,1,2,1,1,3,8,7,8,8,-2.5686616186490934,13.816693602992887
16,3,3,1,3,0,5,3,3,1,1,5,2,16,18,18,10.66131883692391,-17.34289200869725
15,4,4,4,4,0,1,3,5,3,5,1,6,10,13,13,2.313541596011687,0.6802411220261907
16,4,4,1,3,0,5,4,5,1,1,4,4,14,15,16,7.813923539400663,-9.832681564360927
15,4,4,1,1,0,5,5,3,1,1,4,6,18,19,19,7.873118603968116,-23.02593073011934
16,3,3,1,3,1,4,1,2,1,1,2,0,7,10,10,10.876765830306763,11.50937793967528
16,2,2,1,2,1,3,1,2,1,1,5,6,10,13,13,5.896320965928072,-2.114306056194251
15,4,2,1,1,0,3,5,2,1,1,3,10,18,19,19,1.5831436246176596,-25.961434235317864
15,2,1,1,2,0,5,4,2,1,1,5,8,9,9,9,-1.6625900491187415,10.961116209672157
16,4,4,1,2,0,5,4,4,1,2,5,2,15,15,16,9.976051296677763,-10.374518711460675
15,4,4,2,2,0,4,4,3,1,1,2,2,11,13,14,12.771091034197962,-3.254645868463819
16,3,3,2,1,0,5,4,2,1,1,5,0,13,14,13,15.839219661103392,-4.938845215732385
17,1,3,3,2,1,5,2,4,1,4,5,20,9,7,8,-27.235104809202017,3.720952673316397
15,3,4,1,1,0,3,4,3,1,2,4,6,14,13,13,4.778643217841972,-4.709730182455283
15,1,2,1,2,0,3,2,3,1,2,1,2,16,15,15,12.138009707745189,-10.622174214426582
15,2,2,1,4,0,5,5,4,1,2,5,6,16,14,15,3.061639863488335,-11.47414004426612
16,2,4,2,2,0,4,2,2,1,2,5,2,13,13,13,9.686655299733841,-3.128318545376227
16,4,4,1,1,0,3,4,4,1,4,5,18,14,11,13,-17.480847166784248,-11.481601712791432
16,2,2,1,2,0,5,4,4,1,1,5,0,8,7,8,6.050376624280729,12.02398930805742
15,3,4,1,1,0,5,5,5,3,2,5,0,13,13,12,13.015880427272783,-2.590603014328626
15,3,4,1,2,0,5,3,2,1,1,1,0,7,10,11,8.703276166351417,9.665788611413571
19,0,1,1,2,3,3,4,2,1,1,5,2,7,8,9,3.9158559253200482,13.89764076388368
18,2,2,1,1,2,3,3,3,1,2,4,0,7,4,0,-10.50647938408807,-4.075752987917483
16,4,4,1,1,0,3,5,5,2,5,4,8,18,18,18,1.7980122709994772,-20.88744067582858
15,3,4,2,3,2,4,2,2,2,2,5,0,12,0,0,-10.58136448822829,-4.132857199487832
15,1,1,3,1,0,4,3,3,1,2,4,0,8,0,0,-10.614336305571307,-4.158427819680353
17,2,2,1,1,0,3,4,4,1,3,5,12,10,13,12,-9.98100457430455,-3.268547468471009
16,3,4,1,1,0,3,2,1,1,4,5,16,12,11,11,-15.455584792773196,-4.0870715542917555
15,3,4,4,2,0,5,3,3,1,1,5,0,9,0,0,-10.60625406720095,-4.152154612608786
15,4,4,1,3,0,4,3,3,1,1,5,0,11,0,0,-10.598119010906563,-4.14584565853359
17,3,4,3,2,0,5,4,5,2,4,5,0,10,0,0,-10.602924502151765,-4.149574147615167
16,3,3,2,1,2,4,3,2,1,1,5,0,4,0,0,-10.595765834551177,-4.144041832397215
16,1,1,1,2,1,4,4,4,1,3,5,0,14,12,12,12.26773789069585,-0.4873158588706646
15,4,4,2,1,0,4,3,2,1,1,5,0,16,16,15,12.79629227924745,-14.069230349199128
15,4,3,2,4,0,2,2,2,1,1,3,0,7,9,0,-10.505025567169897,-4.074728764365972
16,2,2,2,1,2,2,3,3,2,2,2,8,9,9,9,-4.318257353432803,9.364117314418252
15,4,4,1,3,0,4,2,2,1,1,5,2,9,11,11,10.972899239414577,3.3091735639015813
16,1,1,1,1,0,3,4,4,3,3,1,2,14,14,13,12.092720706256465,-5.735880615090988
17,2,1,1,1,3,5,4,5,1,2,5,0,5,0,0,-10.606287556606578,-4.152200575538404
15,1,1,1,2,0,4,4,2,1,2,5,0,8,11,11,9.368599757351818,8.16229102638287
15,3,2,1,2,3,3,3,2,1,1,3,0,6,7,0,-10.550626058563324,-4.109752734192861
15,1,2,1,2,0,4,3,2,1,1,5,2,10,11,11,9.735301827985493,5.757770961204058
16,4,4,1,1,0,3,3,2,2,1,5,0,7,6,0,-10.524816415795263,-4.089917641499402
15,2,1,4,1,3,4,5,5,2,5,5,0,8,9,10,6.075483799649679,13.11640596066605
18,1,1,1,1,3,2,3,5,2,5,4,0,6,5,0,-10.461901262312477,-4.041451187867438
16,2,1,1,1,1,4,4,4,3,5,5,6,12,13,14,1.678251560425761,-2.739329935109849
15,3,3,2,3,2,4,2,1,2,3,3,8,10,10,10,-5.48082486394361,9.001986016906992
19,3,2,1,1,3,4,5,4,1,1,4,0,5,0,0,-10.603565592811602,-4.150089267300362
17,4,4,1,1,0,4,2,1,1,1,4,0,11,11,12,13.049962102707518,1.927194116208632
15,2,3,1,2,0,4,4,4,1,1,1,2,11,8,8,8.820540441179686,7.475526837164283
17,1,2,1,1,0,2,2,2,3,3,5,8,16,12,13,-0.544351190117796,-7.3589302762546
18,1,1,3,1,3,5,2,5,1,5,4,6,9,8,10,-2.458929998108817,13.564097015996234
16,2,2,3,1,0,4,2,2,1,2,3,2,17,15,15,10.456617040680783,-12.99574895714612
16,3,3,1,2,1,4,5,5,4,4,5,4,10,12,12,4.133537155166264,2.8435556437368743
17,2,1,2,1,2,3,3,2,2,2,5,0,7,6,0,-10.556248787939237,-4.114051803806566
15,3,2,2,2,2,4,4,4,1,4,3,6,5,9,7,1.4466842571856318,12.110824582702762
16,1,2,2,1,1,4,4,4,2,4,5,0,7,0,0,-10.61187876119139,-4.156524622227133
17,1,3,1,1,0,5,3,3,1,4,2,2,10,10,10,9.105004401609879,5.157869810342068
17,1,1,4,2,3,5,3,5,1,5,5,0,5,8,7,3.8445597177558755,17.970274980204714
16,3,2,2,1,1,4,5,2,1,1,2,16,12,11,12,-15.634704304404629,0.7871701103383368
16,2,2,1,2,0,4,3,5,2,4,4,4,10,10,10,6.2159334167969,8.145290157634197
16,4,2,1,2,0,4,2,3,1,1,3,0,14,15,16,12.732340420965995,-12.188857207338598
16,2,2,1,2,0,5,1,5,1,1,4,0,6,7,0,-10.535665597281499,-4.098255762368776
16,4,4,1,2,0,4,4,2,1,1,3,0,14,14,14,15.58203651509605,-7.015243060666381
16,3,4,3,1,2,3,4,5,2,4,2,0,6,5,0,-10.465733015755978,-4.044390429009586
16,1,0,2,2,0,4,3,2,1,1,3,2,13,15,16,16.06121624928805,-9.382878158819286
17,4,4,1,2,0,4,4,4,1,3,5,0,13,11,10,11.874426886037083,1.4478623492050382
16,1,3,1,2,3,4,3,5,1,1,3,0,8,7,0,-10.54156292514998,-4.1027585255173
16,3,3,2,2,0,4,4,5,1,1,4,4,10,11,9,7.454111111021498,5.37442110020463
17,4,3,2,2,0,4,4,4,4,4,4,4,10,9,9,3.620040214857394,7.679804780347502
16,2,2,2,2,0,3,4,4,1,4,5,2,13,13,11,10.100247198818744,-2.3238889950802686
17,3,3,1,2,0,4,3,4,1,4,4,4,6,5,6,-2.170156880672079,17.494641604052077
16,4,2,1,1,0,4,3,3,3,4,3,10,10,8,9,-7.523436895071256,8.194278144839437
17,4,3,1,2,0,5,2,3,1,1,2,4,10,10,11,3.3602943765120368,6.046963551899132
16,4,3,1,2,0,3,4,3,2,3,3,10,9,8,8,-9.010963898479499,9.142061456658716
16,3,3,1,2,0,4,2,3,1,2,3,2,12,13,12,9.844538137308584,-1.5003233655334154
17,2,4,1,2,0,5,4,2,2,3,5,0,16,17,17,15.111916611082373,-14.21801508142543
17,3,3,1,2,0,5,3,3,2,3,1,56,9,9,8,-70.37537743776292,-13.686939398232564
16,3,2,1,2,0,1,2,2,1,2,1,14,12,13,12,-12.453008352309556,-5.926482372576148
17,3,3,1,2,0,4,3,4,2,3,4,12,12,12,11,-10.511976250621505,-3.439625389398782
16,1,2,1,1,0,3,3,3,1,2,3,2,11,12,11,11.109892776144111,2.893848311697915
16,2,1,1,2,0,4,2,3,1,2,5,0,15,15,15,12.577124183014964,-12.753568230786906
17,3,3,1,2,0,3,3,3,1,3,3,6,8,7,9,-0.7166709239587684,11.674602269873098
17,1,2,1,2,0,3,1,3,1,5,3,4,8,9,10,3.1210933831655874,11.444431909229806
16,2,3,1,2,0,4,3,3,1,1,2,10,11,12,13,-5.171100791131003,-3.6677178358899227
17,1,1,1,2,0,5,3,3,1,1,3,0,8,8,9,6.068799328632741,12.232480154506613
17,1,2,2,2,0,4,4,4,4,5,5,12,7,8,8,-13.383282518535253,10.023159525551435
16,3,3,1,1,0,4,3,2,3,4,5,8,8,9,10,-3.277724372005098,9.598847013765267
16,2,3,2,1,0,5,3,3,1,1,3,0,13,14,14,15.701197370053764,-4.130622785597343
17,2,4,1,2,0,4,3,2,1,1,5,0,14,15,15,16.10001662315369,-8.532219140677475
17,4,4,1,1,0,5,2,3,1,2,5,4,17,15,16,8.964998303259522,-10.366120389672227
16,3,3,3,1,0,3,3,4,3,5,3,8,9,9,10,-3.6478790829748933,7.2960738829186
17,4,4,2,1,1,4,2,4,2,3,2,24,18,18,18,-19.950709952719716,-21.624980517206698
16,4,4,1,2,0,4,5,2,1,2,3,0,9,9,10,9.894423083778149,9.080830666480093
16,4,3,1,2,0,4,3,5,1,5,2,2,16,16,16,9.678861595796088,-10.304390310849739
16,2,3,1,2,0,4,4,3,1,3,4,6,8,10,10,0.5804660932659509,8.581053555472232
17,1,1,1,2,0,4,4,4,1,3,1,4,9,9,10,7.291072920856198,8.282848736829134
17,2,2,1,1,0,5,3,2,1,2,3,18,7,6,6,-22.61827368755913,5.268283180040288
16,2,2,2,4,0,5,3,5,1,1,5,6,10,10,11,7.056060394763822,5.737722350170589
17,3,4,1,3,1,4,4,3,3,4,5,28,10,9,9,-34.86802077514859,-7.104893601148701
16,3,1,1,2,3,2,3,3,2,2,4,5,7,7,7,0.124678644744818,15.865846495918692
16,4,3,1,2,0,1,3,2,1,1,1,10,11,12,13,-6.992597312077226,-3.886589205572432
16,1,1,2,1,0,4,3,2,1,4,5,6,9,9,10,0.68886596289908,9.903136013397555
17,4,3,2,3,0,4,4,2,1,1,4,6,7,7,7,-3.4268164317248107,14.651441879959235
19,3,3,1,4,0,4,3,3,1,2,3,10,8,8,8,-7.982924531656519,7.8857670589750875
17,4,4,1,2,0,5,3,5,4,5,3,13,12,12,13,-11.662864178996399,-4.657697387575472
16,2,2,1,2,0,3,3,4,1,1,4,0,12,13,14,12.701522544670445,-1.8549768493440189
18,2,2,1,2,1,4,4,4,2,4,5,15,6,7,8,-18.82522905505951,10.305816918903949
17,4,4,1,1,0,5,2,1,1,2,3,12,8,10,10,-10.208116071727709,6.461189446435487
17,3,2,2,2,0,4,4,4,1,3,1,2,14,15,15,9.099692078332582,-7.361947709565344
17,4,3,1,2,2,3,4,5,2,4,1,22,6,6,4,-31.25622159878355,6.251443576886497
18,3,3,1,2,1,3,2,4,2,4,4,13,6,6,8,-19.110239222470785,11.853867592548138
17,2,3,2,1,0,3,3,3,1,4,3,3,7,7,8,1.588531193667799,14.25637490198742
17,2,2,1,3,0,4,3,3,1,1,4,4,9,10,10,4.423934768275042,7.866342482791587
17,2,1,2,2,0,4,2,5,1,2,5,2,6,6,6,1.0040494369197224,17.588121098221418
17,1,1,1,3,1,4,3,4,1,1,5,0,6,5,0,-10.506302474262622,-4.075642773467786
16,2,3,1,2,0,2,3,1,1,1,3,2,16,16,17,12.261642235848253,-15.335453249787136
18,2,2,2,2,0,3,3,3,5,5,4,0,12,13,13,9.688724962676645,-4.384338298753835
16,4,4,1,3,0,5,3,2,1,1,5,0,13,13,14,15.709240285112495,-5.084181530521116
18,3,1,1,2,1,5,3,3,1,1,4,16,9,8,7,-17.927973951851314,3.0881730617480847
17,3,2,1,2,0,5,3,4,1,3,3,10,16,15,15,-2.457337005044349,-13.407061712867762
17,2,3,1,2,0,5,3,3,1,3,3,2,12,11,12,10.503341266370809,1.5000348712316627
18,2,1,4,2,0,4,3,2,4,5,3,14,10,8,9,-13.885013164254074,8.437390908352137
17,2,1,2,3,0,3,2,3,1,2,3,10,12,10,12,-6.6378516056992565,-0.8065414628942138
17,4,3,1,2,0,3,2,3,1,2,3,14,13,13,14,-11.837113982927507,-8.340208126668045
17,2,2,2,2,0,4,5,2,1,1,1,4,11,11,11,9.094737979110214,6.054341552260039
17,4,4,1,2,0,4,5,5,1,3,2,14,11,9,9,-15.10061407230767,3.508348660757721
16,4,4,1,2,0,4,2,4,2,4,1,2,14,13,13,9.14177307451631,-4.5801874805526985
16,1,1,2,2,0,3,4,2,1,1,5,18,9,7,6,-20.04147903131878,1.3519609207375425
16,3,2,2,3,0,5,3,3,1,3,2,10,11,9,10,-7.079509070362235,4.803783661812999
17,2,2,1,2,0,4,4,2,5,5,4,4,14,13,13,5.20047620605178,-3.2406945333099566
16,2,1,1,1,0,4,5,2,1,1,5,20,13,12,12,-20.522077580363998,-3.89989225639486
17,2,1,3,2,0,2,1,1,1,1,3,2,13,11,11,11.365099725636233,5.521758855187858
18,2,2,1,2,1,5,5,4,3,5,2,0,7,7,0,-10.50488375096881,-4.074533259026314
17,4,3,2,2,0,2,5,5,1,4,5,14,12,12,12,-13.971754076461824,-4.880409341545749
17,4,4,2,2,0,3,3,3,2,3,4,2,10,11,12,9.198510337950289,4.608705465731035
16,4,3,1,1,0,5,4,5,1,1,3,0,6,0,0,-10.611908744417066,-4.156552175318991
16,4,4,1,1,0,5,3,2,1,2,5,0,13,12,12,12.94627785177946,-2.9764207139561987
18,2,1,2,3,0,4,4,4,1,1,3,0,7,0,0,-10.615552915237,-4.159382805739397
16,2,1,3,1,0,4,3,3,1,1,4,6,18,18,18,7.247875578462404,-22.341169581676816
17,2,3,2,1,0,5,2,2,1,1,2,4,12,12,13,7.533958583273366,1.816870433214383
22,3,1,1,1,3,5,4,5,5,5,1,16,6,8,8,-18.032314460981635,10.325976899087367
18,3,3,1,2,1,4,3,3,1,3,5,8,3,5,5,-9.893987375964969,19.368451793162077
16,0,2,1,1,0,4,3,2,2,4,5,0,13,15,15,15.994460744706606,-8.873380959996805
18,3,2,2,1,1,4,4,5,2,4,5,0,6,8,8,4.102707882677388,16.326569201531637
16,3,3,3,2,0,5,3,3,1,3,2,6,7,10,10,1.2894690840514715,9.101194927333351
18,2,1,1,1,1,3,2,5,2,5,5,4,6,9,8,1.6554873930798342,14.873892707798223
16,2,1,2,1,0,3,3,2,1,3,3,0,8,9,8,5.959758765647209,11.881961686250937
17,2,1,1,1,0,4,4,2,2,4,5,0,8,12,12,11.1225447500626,9.356241656145642
17,1,1,2,1,1,4,4,4,1,2,5,2,7,9,8,2.556075443385268,13.205126457019963
17,4,2,1,4,0,4,2,3,1,1,4,6,14,12,13,2.571203785645903,-6.977483085312968
19,4,3,1,2,0,4,3,1,1,1,1,12,11,11,11,-8.972947264081206,-1.629617596940989
18,2,1,1,2,0,5,2,4,1,2,4,8,15,14,14,-0.9500755683591262,-10.512743319382029
17,2,2,1,4,0,3,4,1,1,1,2,0,10,9,0,-10.532630462322187,-4.095952503858475
18,4,3,1,2,0,3,1,2,1,3,2,21,17,18,18,-17.976625148684644,-22.82343256075016
18,4,3,1,2,0,4,3,2,1,1,3,2,8,8,8,6.417508013636399,11.529844723960418
18,3,2,1,3,0,5,3,2,1,1,3,1,13,12,12,12.367823196180678,-0.9780535914077018
17,3,3,1,3,0,3,2,3,1,1,4,4,10,9,9,5.484059424959562,7.99687812996278
18,2,2,1,3,0,4,3,3,1,1,3,0,9,10,0,-10.551267800864965,-4.110274657559774
18,3,4,2,2,0,4,2,5,3,4,1,13,17,17,17,-7.174002537259486,-17.657340430380486
17,3,1,1,2,0,5,4,4,3,4,5,2,9,9,10,7.260661875880341,8.310705102306443
18,4,4,2,2,0,4,3,4,2,2,4,8,12,10,11,-2.5709742122789945,1.2436332420637988
18,4,2,1,2,0,5,4,5,1,3,5,10,10,9,10,-6.974303845653435,4.16105095634038
18,2,1,2,2,0,4,3,5,1,2,3,0,6,0,0,-10.616853061578347,-4.1603911036881
19,3,3,1,2,2,4,3,5,3,3,5,15,9,9,9,-18.21918560947144,5.728912157687941
18,2,3,1,4,0,4,5,5,1,3,2,4,15,14,14,6.334922164563906,-7.891299051686106
18,1,1,2,2,0,4,4,3,1,1,3,2,11,11,11,8.992895720855696,5.211521021198051
17,1,2,1,2,0,3,5,2,2,2,1,2,15,14,14,12.108491232215902,-6.501078399653644
17,2,4,2,2,0,4,3,3,1,1,1,2,10,10,10,6.415179330836431,6.215483147964063
17,2,2,2,2,0,4,4,4,2,3,5,6,12,12,12,3.768690261992585,-0.8509265817491435
18,3,2,2,2,0,4,1,1,1,1,5,75,10,9,9,-95.02968601413681,-21.83666014245666
18,4,4,2,1,0,3,2,4,1,4,3,22,9,9,9,-29.385504696429738,1.8616522610561974
18,4,4,1,2,1,2,4,4,1,1,4,15,9,8,8,-17.658701063609072,3.1671375913269335
18,4,3,2,1,0,4,2,3,1,2,1,8,10,11,10,-2.0723490386028858,5.47935744952301
17,4,1,2,1,0,4,5,4,2,4,5,30,8,8,8,-39.55350785273607,-3.185129298681188
17,3,2,1,1,1,4,4,4,3,4,3,19,11,9,10,-23.05804788024826,1.9988711109091846
